"STATE","COUNTY","STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","H_MALE","H_FEMALE","white_alone_perc","black_alone_perc","american_indian_alone_perc","asian_alone_perc","hispanic_perc"
36,83,"New York","Rensselaer County",158714,78378,80336,67433,69379,6223,6573,274,275,2346,2079,4017,4243,0.862003351941228,0.0806230074221556,0.00345905213150699,0.0278803382184306,0.0520432980077372
36,85,"New York","Richmond County",476143,231330,244813,173100,181462,25778,29586,1610,1515,25395,26730,43731,44907,0.744654442047872,0.116275992716474,0.00656315434648834,0.109473414499426,0.186158359988491
36,87,"New York","Rockland County",325789,160031,165758,125495,128165,20385,22227,968,836,9534,10778,30402,29535,0.778602101360083,0.13079631295102,0.00553732630629027,0.0623471019586297,0.183974904002284
36,89,"New York","St. Lawrence County",107740,54947,52793,50733,50264,2204,544,554,542,553,625,1616,978,0.937414145164284,0.0255058474104325,0.0101726378318173,0.0109337293484314,0.0240764804158159
36,91,"New York","Saratoga County",229863,113494,116369,105236,108392,2459,2164,288,280,3194,3405,4017,3754,0.929370973144873,0.0201119797444565,0.00247103709600936,0.0287084045714186,0.0338070937906492
36,93,"New York","Schenectady County",155299,75768,79531,58567,61771,9715,10078,575,578,3769,3969,5851,5689,0.774879426139254,0.127450917262828,0.0074243877938686,0.0498264637892066,0.0743082698536372
36,95,"New York","Schoharie County",30999,15524,15475,14831,14824,260,226,52,40,112,124,538,527,0.956643762702023,0.0156779250943579,0.00296783767218297,0.00761314881125198,0.0343559469660312
36,97,"New York","Schuyler County",17807,8872,8935,8557,8600,100,97,31,29,45,73,165,198,0.96349750098276,0.0110630650867636,0.00336946144774527,0.00662660751389903,0.0203852417588589
36,99,"New York","Seneca County",34016,17857,16159,15741,15356,1564,277,102,57,132,157,842,415,0.914187441204139,0.0541215898400753,0.00467427093132643,0.00849600188146754,0.036953198494826
36,101,"New York","Steuben County",95379,47526,47853,44785,45589,1002,612,154,142,798,758,862,764,0.947525136560459,0.0169219639543296,0.00310340850711373,0.0163138636387465,0.0170477778127261
36,103,"New York","Suffolk County",1476601,726935,749666,613197,630442,62825,67352,4803,4393,30569,31856,153446,144983,0.842230907333802,0.0881599023703763,0.00622781645143136,0.0422761463658768,0.202105375792106
36,105,"New York","Sullivan County",75432,38705,36727,32192,31362,4298,3233,312,257,716,771,6745,5911,0.842533672711846,0.0998382649273518,0.00754321773252731,0.0197131191006469,0.167780252412769
36,107,"New York","Tioga County",48203,23939,24264,23006,23470,300,210,74,56,178,204,543,462,0.964172354417775,0.0105802543410161,0.00269692757712176,0.00792481795738854,0.0208493247308259
36,109,"New York","Tompkins County",102180,50162,52018,40403,42525,2281,2241,244,249,5457,5167,2697,2822,0.811587394793502,0.0442552358582893,0.00482481894695635,0.103973380309258,0.0540125269132903
36,111,"New York","Ulster County",177573,88057,89516,76013,79054,7417,5425,428,400,1714,2037,9944,8894,0.873257758780896,0.07231955308521,0.00466287104458448,0.0211237068698507,0.106085947751066
36,113,"New York","Warren County",63944,31409,32535,29872,31173,554,380,109,87,267,346,923,880,0.954663455523583,0.0146065307143751,0.00306518203428,0.00958651319904917,0.0281965469786063
36,115,"New York","Washington County",61204,31633,29571,28980,28636,1937,226,123,86,152,202,1233,568,0.941376380628717,0.0353408273969022,0.00341480948957584,0.00578393569047775,0.0294261812953402
36,117,"New York","Wayne County",89918,44693,45225,41558,42430,1596,1230,197,191,298,346,2324,1896,0.934051024266554,0.031428634978536,0.00431504259436375,0.00716208100713984,0.0469316488356058
36,119,"New York","Westchester County",967506,468854,498652,346942,361084,75163,86340,5138,4234,28801,33739,124076,123094,0.731805280794124,0.166927130167668,0.009686761632486,0.0646404260025261,0.255471283899015
36,121,"New York","Wyoming County",39859,21610,18249,19001,17760,2136,91,122,62,98,111,985,336,0.922276022981008,0.0558719486188816,0.00461627236006924,0.00524348327855691,0.0331418249328884
36,123,"New York","Yates County",24913,12132,12781,11747,12363,134,93,38,43,57,141,313,255,0.967767832055553,0.0091117087464376,0.00325131457472003,0.00794765784931562,0.0227993417091478
37,1,"North Carolina","Alamance County",169509,80533,88976,59757,64939,16211,19158,1214,1252,1411,1547,11240,10890,0.735630556489626,0.208655587608918,0.0145479001114985,0.017450400863671,0.130553539930033
37,3,"North Carolina","Alexander County",37497,19109,18388,17058,16989,1428,786,104,95,189,196,943,845,0.907992639411153,0.0590447235778862,0.00530709123396538,0.0102674880657119,0.0476838147051764
37,5,"North Carolina","Alleghany County",11137,5519,5618,5257,5373,101,96,38,21,43,46,638,459,0.954476070755141,0.0176887851306456,0.00529765646044716,0.00799138008440334,0.0985004938493311
37,7,"North Carolina","Anson County",24446,12532,11914,5986,5602,5992,5854,137,90,199,161,656,350,0.47402438026671,0.484578254111102,0.00928577272355396,0.0147263355968257,0.0411519266955739
37,9,"North Carolina","Ashe County",27203,13331,13872,12875,13477,156,106,56,58,69,69,829,561,0.96871668565967,0.00963129066647061,0.00419071425945668,0.0050729698930265,0.0510973054442525
37,11,"North Carolina","Avery County",17557,9513,8044,8613,7705,692,130,64,39,47,60,516,371,0.929429857037079,0.046818932619468,0.00586660591217178,0.00609443526798428,0.0505211596514211
37,13,"North Carolina","Beaufort County",46994,22322,24672,16351,17479,5234,6408,248,242,112,137,1850,1919,0.719879133506405,0.247733753245095,0.0104268630037877,0.00529854875090437,0.0802017278801549
37,15,"North Carolina","Bertie County",18947,9614,9333,3463,3387,5878,5697,87,50,61,84,289,157,0.361534807621259,0.61091465667388,0.00723069615242519,0.00765292658468359,0.0235393465984061
37,17,"North Carolina","Bladen County",32722,15533,17189,9739,10154,5002,6133,474,541,46,63,1344,1194,0.607939612493124,0.340290935761873,0.0310188863761384,0.00333109223152619,0.0775624961799401
37,19,"North Carolina","Brunswick County",142820,68165,74655,58987,64589,6828,7480,584,611,443,627,3619,3423,0.865256966811371,0.100182047332306,0.00836717546562106,0.00749194790645568,0.049306819773141
